date	authors	journal	title	volume	pages
2019	"Bojar, D, Camacho, DM, Collins, JJ"	Nature communications	"Using natural language processing to learn the language of glycans"	(submitted)	" "
2019	"Valeri, J, Collins, KM, Lepe, BA, Lu, TK, Camacho, DM"	Nature communications	"A convolutional neural network for interpretable prediction and redesign of toehold switches"	(submitted)	" "
2019	"Jalili-Firoozinezhad, S, Gazzaniga, FS, Calamari, EL, Camacho, DM, Fadel, C, Nestor, B, Cronce, MJ, Tovaglieri, A, Levy, O, Gregory, KE, Breault, DT, Cabral, JMS, Kasper, DL, Novak, R, Ingber, DE"	Nature Biomedical Engineering	A complex human gut microbiome cultured in an anaerobic intestine-on-a-chip	3	520-531
2019	"Tovaglieri, A, Sontheimer-Phelps, A, Geirnaert, A, Prantil-Baun, R, Camacho, DM, Chou, DB, Jalili-Firoozinezhad, S, de Wouters, T, Kasendra, M, Super, M, Cartwright, M, Richmond, CA, Breault, DT, Lacroix, C, Ingber, DE"	Microbiome	Species-specific enhancement of enterohemorrhagic E. coli pathogenesis mediated by microbiome metabolites	7	43
2018	"Camacho, DM, Collins, KM, Powers, RK, Costello, JC, Collins, JJ"	Cell	Next-generation machine learning for biological networks	173	1581--1592
2018	"Musah, S, Dimitrakakis, N, Camacho, DM, Church, GM, Ingber, DE"	Nature Protocols	Directed differentiation of human induced pluripotent stem cells into mature kidney podocytes and establishment of a Glomerulus Chip	13	1662--1685
2014	"Paandey, SP, Winkler, JA, Li, H, Camacho, DM, Collins, JJ, Walker, GC"	BMC Genomics	Central role for RNase YbeY in Hfq-dependent and Hfq-independent small-RNA regulation in bacteria	15	121
2013	"Galagan, JE, Minch, K, Peterson, M, Lyubetskya, A, Azzizi, E, Sweet, L, Gomes, A, Rustad, T, Dolganov, G, Glotova, I, Abeel, T, Mawhinney, C, Kennedy, A, Allard, R, Brabant, W, Krueger, A, Jaini, S, Honda, B, Yu, W-H, Hickey, M, Zucker, J, Garay, C, Weiner, B, Sisk, P, Stolte, C, Winkler, J, Van de Peer, Y, Iazzetti, P, Camacho, D, Dreyfuss, J, Liu, Y, Dorhoi, A, Mollenkopf, H-J, Drogaris, P, Lamontagne, J, Zhou, Y, Piquenot, J, Park, ST, Raman, S, Kaufmann, S, Mohney, R, Chelsky, D, Moody, B, Sherman, D, Schoolnik, G"	Nature	The Mycobacterium tuberculosis regulatory network and hypoxia	499	178--183
2013	"Belenky, P, Camacho, D, Collins, JJ"	Cell Reports	Fungicidal drugs induce a common oxidative-damage cellular death pathway	3	350--358
2012	"Marbach, D, Costello, JC, Kuffner, R, Vega, N, Prill, RJ, Camacho, DM, Allison, KR, the DREAM5 Consortium, Kellis, M, Collins, JJ, Stolovitzky, G"	Nature Methods	Wisdom of crowds for robust gene network inference	9	796--804
2011	"Dwyer, DJ, Camacho, DM, Callura, JM, Kohanski, MA, Collins, JJ"	Molecular Cell	Antibiotic-induced bacterial cell death exhibits physiological and biochemical hallmarks of apoptosis	46	561--572
2011	"Modi, SR, Camacho, DM, Kohanski, MA, Collins, JJ"	Proc. Natl. Acad. Sci. USA	Functional characterization of bacterial sRNAs using a network biology approach	108	15522--15527
2009	"Camacho, DM, Collins, JJ"	Cell	Systems biology strikes gold	137	24--26
2007	"Camacho, D, Vera-Licona, P, Laubenbacher, R, Mendes, P"	Ann. N. Y. Acad. Sci.	Comparison of existing reverse engineering methods by use of an in silico system	1115	73--89
2005	"Mendes, P, Camacho, D, de la Fuente, A"	Biochem. Soc. Trans.	Modelling and simulation for metabolomics data analysis	33	1427--1429
2005	"Camacho, D, de la Fuente, A, Mendes, P"	Metabolomics	The origin of correlations in metabolomics data	1	53-63
2004	"Martins, AM, Camacho, D, Shuman, J, Sha, W, Mendes, P, Shulaev, V"	Curr. Genomics	A systems biology study of two distinct growth phases of Saccharomyces cerevisiae cultures	5	649--663
